no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score,token
1.0,1.0,0.9615081133697196,1.0,1.0,1.0,0.9839617139040499,0d5b8da00d505be0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0f206a62842b59b2
1.0,1.0,0.9553740141442975,1.0,1.0,1.0,0.9814058392267905,0f3d66a03c5e500b
1.0,1.0,0.5904544666262228,1.0,1.0,1.0,0.8293560277609262,10209c0e885f5162
1.0,1.0,0.8943094870318843,1.0,1.0,1.0,0.9559622862632852,17ecb960d15d5b5f
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1ebfee14fc925d6e
1.0,1.0,0.8543811915957864,1.0,1.0,1.0,0.9393254964982444,2035406a3a6955be
1.0,1.0,0.6205356969660933,1.0,1.0,1.0,0.8418898737358722,21747e180852591a
1.0,1.0,0.9471593615925158,1.0,1.0,1.0,0.9779830673302149,23d0ae8aedf8537b
1.0,1.0,1.0,1.0,1.0,1.0,1.0,263367576c285a2a
1.0,1.0,0.9572562524557361,1.0,1.0,1.0,0.9821901051898901,3789d42ea83f569d
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3b185264ec565b67
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3dc6b109b480502f
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3ec484ccad125e99
1.0,1.0,1.0,1.0,1.0,1.0,1.0,43cc094e7af0518e
1.0,1.0,1.0,1.0,1.0,1.0,1.0,475a45837ca75030
1.0,1.0,1.0,1.0,1.0,1.0,1.0,4f21925f1a7c5983
1.0,1.0,0.700837721712129,1.0,1.0,1.0,0.8753490507133871,5798a6e25f2553e4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5a06f03022ec5b67
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5ad18b7f7b2a52c7
1.0,1.0,0.7106260909972862,1.0,1.0,1.0,0.8794275379155359,6227e5b0f0d4592e
1.0,1.0,1.0,1.0,1.0,1.0,1.0,627ed4c9950753e9
1.0,1.0,1.0,1.0,1.0,1.0,1.0,662212c87d0d5b09
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7602906d3c785da3
1.0,1.0,0.7542917347460212,1.0,1.0,1.0,0.8976215561441755,7bbb6cfc4f135e50
1.0,1.0,0.6927467190198544,1.0,1.0,1.0,0.871977799591606,871164a7e40652b5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,8781cde1032354cb
1.0,1.0,0.6548376768597641,1.0,1.0,1.0,0.8561823653582351,8be5c83488ff5980
1.0,1.0,1.0,1.0,1.0,1.0,1.0,8c2e3aa977d95da5
1.0,1.0,0.7256952727895116,1.0,1.0,1.0,0.8857063636622966,8cafe946e9c752fc
1.0,1.0,1.0,1.0,1.0,1.0,1.0,9bdf0d338d625e2a
1.0,1.0,0.9217474692353732,1.0,1.0,1.0,0.9673947788480722,afe269451bc757e1
1.0,1.0,0.9142665009006401,1.0,1.0,1.0,0.9642777087086,b111bb8716b756d2
1.0,1.0,0.8826963018901044,1.0,1.0,1.0,0.9511234591208768,b2f320b5d94753f9
1.0,1.0,0.648435666877793,1.0,1.0,1.0,0.8535148611990805,b86152f6ab29580e
1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334,c49e7550cee75722
1.0,1.0,0.666666433352342,1.0,1.0,1.0,0.8611110138968092,c5e8daf69c6552a7
1.0,1.0,0.9312025251913798,1.0,1.0,1.0,0.9713343854964083,d2789ec30aaa5d6a
1.0,1.0,1.0,1.0,1.0,1.0,1.0,d5cf4595a3435917
1.0,1.0,0.6909065993395833,1.0,1.0,1.0,0.8712110830581598,d7ff11915cdf538e
1.0,1.0,1.0,1.0,1.0,1.0,1.0,db817c126780531f
1.0,1.0,1.0,1.0,1.0,1.0,1.0,dc952092ef6a5243
1.0,1.0,1.0,1.0,1.0,1.0,1.0,e11f2ff7ffba5b45
1.0,1.0,0.721286633091073,0.0,1.0,0.5,0.46720276378794706,1975d15fde2955ff
1.0,1.0,0.49430371835758596,1.0,1.0,1.0,0.7892932159823275,440364f63ee95043
1.0,1.0,0.7573776964074899,1.0,1.0,1.0,0.8989073735031208,57730912486a5853
1.0,1.0,0.7283054385069972,1.0,1.0,0.5,0.886793932711249,586c5b66ad8158ee
