rank,module,gain(metric_mae),drift_if_off(metric_mae),argmax_match_if_off,traj_l1_if_off(m)
1,_status_encoding,0.196862,0.907602,0.1667,0.127635
2,_trajectory_head.decoder.layers.0.v_attention.out_proj,0.044927,1.059537,0.1250,0.094493
3,_trajectory_head.decoder.layers.1.v_img_attention.in_proj,0.026857,1.077608,0.1250,0.081443
4,_trajectory_head.decoder.layers.0.v_img_attention.out_proj,0.021062,1.083402,0.1667,0.092201
5,_trajectory_head.decoder.layers.1.p_attention.in_proj,0.016900,1.087564,0.2917,0.089843
6,_backbone.img_backbone.layer1.1.conv1,0.013035,1.091429,0.2917,0.079207
7,_backbone.img_backbone.layer1.2.conv1,0.012479,1.091985,0.2500,0.083046
8,_backbone.img_backbone.layer2.1.conv2,0.011229,1.093235,0.2083,0.106556
9,_trajectory_head.decoder.layers.1.v_ffn.0,0.010199,1.094265,0.1667,0.081818
10,_trajectory_head.decoder.layers.1.metric_heads.no_at_fault_collisions.2,0.009697,1.094767,0.2083,0.082498
11,_trajectory_head.decoder.layers.1.path_mlp.2,0.008836,1.095628,0.2083,0.092168
12,_trajectory_head.decoder.layers.1.t_deform_model.camera_encoder.3,0.007480,1.096984,0.2083,0.084667
13,_trajectory_head.decoder.layers.1.t_deform_model.weights_fc,0.007381,1.097083,0.2083,0.084634
14,_backbone.img_backbone.layer3.0.conv2,0.004703,1.099761,0.2500,0.107216
15,_trajectory_head.decoder.layers.1.vel_mlp.0,0.003103,1.101362,0.2083,0.092168
16,_trajectory_head.decoder.layers.0.p_deform_model.camera_encoder.3,0.002538,1.101926,0.1250,0.105975
17,_backbone.img_backbone.layer1.0.conv2,0.001298,1.103166,0.2917,0.126453
18,_trajectory_head.decoder.layers.1.p_deform_model.camera_encoder.0,0.000863,1.103601,0.2917,0.089690
19,_trajectory_head.decoder.layers.1.metric_heads.driving_direction_compliance.2,0.000132,1.104332,0.2083,0.092168
20,_trajectory_head.decoder.layers.1.metric_heads.time_to_collision_within_bound.0,0.000123,1.104341,0.2083,0.092071
21,_trajectory_head.decoder.layers.1.metric_heads.ego_progress.2,0.000100,1.104365,0.2083,0.092168
22,_trajectory_head.decoder.layers.1.metric_heads.comfort.0,0.000080,1.104385,0.2083,0.092168
23,_trajectory_head.decoder.layers.1.metric_heads.drivable_area_compliance.2,0.000018,1.104446,0.2083,0.092168
24,_trajectory_head.decoder.layers.1.metric_heads.comfort.2,0.000016,1.104448,0.2083,0.092168
25,_trajectory_head.decoder.layers.1.metric_heads.time_to_collision_within_bound.2,0.000015,1.104449,0.2083,0.092168
26,_trajectory_head.decoder.layers.1.traj_mlp.0,0.000000,1.104464,0.2083,0.092168
27,_trajectory_head.decoder.layers.1.traj_mlp.2,0.000000,1.104464,0.2500,0.092168
28,_trajectory_head.decoder.layers.1.metric_heads.driving_direction_compliance.0,-0.000008,1.104473,0.2083,0.092168
29,_trajectory_head.decoder.layers.1.metric_heads.drivable_area_compliance.0,-0.000035,1.104499,0.2083,0.092168
30,_trajectory_head.decoder.layers.0.v_img_attention.in_proj,-0.000350,1.104815,0.1250,0.113870
31,_backbone.img_neck.inner_blocks.0.0,-0.000676,1.105140,0.2500,0.103607
32,_trajectory_head.decoder.layers.1.vel_mlp.2,-0.001621,1.106085,0.1250,0.092168
33,_trajectory_head.decoder.layers.1.metric_heads.no_at_fault_collisions.0,-0.001901,1.106366,0.2083,0.094117
34,_trajectory_head.decoder.layers.1.t_ffn.2,-0.001943,1.106407,0.2083,0.094386
35,_trajectory_head.decoder.layers.1.t_ffn.0,-0.002034,1.106498,0.2083,0.094386
36,_trajectory_head.decoder.layers.1.p_ffn.2,-0.002803,1.107267,0.2083,0.101486
37,_trajectory_head.decoder.layers.1.path_mlp.0,-0.004104,1.108569,0.2083,0.092168
38,_trajectory_head.decoder.layers.0.p_ffn.2,-0.004966,1.109430,0.2083,0.104238
39,_trajectory_head.decoder.layers.1.p_attention.out_proj,-0.006320,1.110784,0.2917,0.116545
40,_trajectory_head.decoder.layers.0.v_attention.in_proj,-0.006968,1.111432,0.1250,0.099348
41,_backbone.img_backbone.layer1.0.conv1,-0.007627,1.112091,0.1250,0.108432
42,_backbone.img_backbone.layer3.5.conv1,-0.008253,1.112717,0.2917,0.117602
43,_trajectory_head.decoder.layers.1.t_attention.in_proj,-0.009812,1.114277,0.2083,0.102454
44,_trajectory_head.decoder.layers.1.t_attention.out_proj,-0.010238,1.114702,0.2083,0.102551
45,_trajectory_head.decoder.layers.0.vel_mlp.0,-0.010935,1.115399,0.2083,0.103287
46,_trajectory_head.decoder.layers.0.vel_mlp.2,-0.010935,1.115399,0.2083,0.103287
47,_backbone.img_backbone.layer3.5.conv2,-0.011711,1.116175,0.2083,0.103532
48,_trajectory_head.decoder.layers.1.metric_heads.ego_progress.0,-0.011877,1.116341,0.2083,0.104055
49,_trajectory_head.decoder.layers.1.p_deform_model.camera_encoder.3,-0.012184,1.116648,0.2500,0.109375
50,_trajectory_head.decoder.layers.1.v_ffn.2,-0.013035,1.117499,0.1250,0.103105
51,_trajectory_head.decoder.layers.0.p_ffn.0,-0.013738,1.118202,0.1667,0.115067
52,_trajectory_head.decoder.layers.0.path_mlp.2,-0.014552,1.119016,0.2083,0.114228
53,_backbone.img_backbone.layer2.2.conv2,-0.015504,1.119969,0.3333,0.111506
54,_trajectory_head.decoder.layers.1.p_deform_model.weights_fc,-0.015734,1.120198,0.1667,0.104119
55,_trajectory_head.decoder.layers.0.p_deform_model.output_proj,-0.016242,1.120706,0.1250,0.116071
56,_trajectory_head.decoder.layers.1.p_ffn.0,-0.016433,1.120897,0.2083,0.102006
57,_backbone.img_backbone.layer4.1.conv2,-0.017715,1.122179,0.1667,0.094963
58,_backbone.img_neck.inner_blocks.2.0,-0.017909,1.122373,0.2083,0.117898
59,_backbone.img_neck.layer_blocks.0.0,-0.018238,1.122702,0.2917,0.106161
60,_backbone.img_neck.layer_blocks.2.0,-0.018329,1.122793,0.2500,0.120198
61,_trajectory_head.decoder.layers.1.t_deform_model.camera_encoder.0,-0.019042,1.123506,0.2083,0.111397
62,_trajectory_head.decoder.layers.1.v_img_attention.out_proj,-0.020010,1.124475,0.1667,0.114006
63,_trajectory_head.decoder.layers.0.path_mlp.0,-0.020374,1.124838,0.1250,0.119922
64,_trajectory_head.decoder.layers.1.t_deform_model.kps_generator.learnable_fc,-0.021017,1.125481,0.2083,0.113794
65,_trajectory_head.decoder.layers.1.p_deform_model.kps_generator.learnable_fc,-0.022764,1.127228,0.1667,0.117695
66,_trajectory_head.decoder.layers.1.v_attention.in_proj,-0.023006,1.127470,0.1250,0.114308
67,_trajectory_head.decoder.layers.1.t_deform_model.output_proj,-0.023431,1.127895,0.2500,0.116258
68,_backbone.img_neck.layer_blocks.1.0,-0.023550,1.128015,0.2500,0.101515
69,_backbone.img_neck.layer_blocks.3.0,-0.024123,1.128587,0.2083,0.115711
70,_backbone.img_neck.inner_blocks.3.0,-0.025562,1.130026,0.2500,0.106197
71,_trajectory_head.decoder.layers.0.p_deform_model.kps_generator.learnable_fc,-0.025865,1.130329,0.2083,0.104839
72,_trajectory_head.decoder.layers.0.p_attention.in_proj,-0.026754,1.131218,0.2917,0.116961
73,_trajectory_head.decoder.layers.0.p_attention.out_proj,-0.027228,1.131692,0.2500,0.102962
74,_backbone.img_backbone.layer1.1.conv2,-0.029182,1.133646,0.1250,0.127555
75,_backbone.img_backbone.layer4.0.conv1,-0.029229,1.133693,0.1667,0.110988
76,_backbone.img_backbone.layer2.3.conv2,-0.029306,1.133771,0.2083,0.111452
77,_backbone.img_backbone.layer2.1.conv1,-0.029704,1.134168,0.2083,0.128959
78,_trajectory_head.decoder.layers.0.p_deform_model.camera_encoder.0,-0.030802,1.135266,0.2917,0.118520
79,_backbone.img_backbone.layer4.2.conv1,-0.031327,1.135791,0.1667,0.106414
80,_backbone.img_backbone.layer2.3.conv1,-0.032710,1.137174,0.1667,0.116189
81,_backbone.img_backbone.layer4.2.conv2,-0.035057,1.139521,0.2083,0.119212
82,_backbone.img_backbone.layer4.0.conv2,-0.036320,1.140785,0.2500,0.121876
83,_backbone.img_backbone.layer3.1.conv1,-0.036648,1.141112,0.3333,0.116029
84,_backbone.img_backbone.layer3.2.conv2,-0.037550,1.142014,0.1667,0.123335
85,_backbone.img_backbone.layer3.3.conv1,-0.038705,1.143169,0.2083,0.135017
86,_backbone.img_backbone.layer3.0.downsample.0,-0.039318,1.143782,0.2083,0.128987
87,_backbone.img_backbone.conv1,-0.040184,1.144648,0.2083,0.130718
88,_trajectory_head.decoder.layers.0.v_ffn.2,-0.041177,1.145641,0.1250,0.116765
89,_backbone.img_backbone.layer3.2.conv1,-0.041446,1.145910,0.2500,0.127840
90,_backbone.img_backbone.layer3.0.conv1,-0.042661,1.147125,0.1250,0.116340
91,_backbone.img_backbone.layer3.4.conv1,-0.044216,1.148680,0.2500,0.114132
92,_trajectory_head.decoder.layers.0.p_deform_model.weights_fc,-0.045113,1.149577,0.1250,0.129341
93,_backbone.img_backbone.layer1.2.conv2,-0.046194,1.150658,0.2083,0.120391
94,_backbone.img_backbone.layer2.0.conv1,-0.048787,1.153251,0.2500,0.134752
95,_backbone.img_backbone.layer2.2.conv1,-0.049267,1.153731,0.2083,0.126276
96,_trajectory_head.decoder.layers.1.v_attention.out_proj,-0.049940,1.154404,0.1250,0.122279
97,_backbone.img_backbone.layer3.1.conv2,-0.051293,1.155757,0.1667,0.147274
98,_backbone.img_neck.inner_blocks.1.0,-0.052302,1.156766,0.2500,0.138674
99,_trajectory_head.decoder.layers.1.p_deform_model.output_proj,-0.053073,1.157537,0.2083,0.140341
100,_backbone.img_backbone.layer2.0.downsample.0,-0.053335,1.157799,0.2083,0.149514
101,_backbone.img_backbone.layer4.0.downsample.0,-0.053761,1.158225,0.2917,0.131386
102,_backbone.img_backbone.layer3.3.conv2,-0.055135,1.159600,0.2500,0.121609
103,_backbone.img_backbone.layer2.0.conv2,-0.055167,1.159631,0.2083,0.139077
104,_backbone.img_backbone.layer4.1.conv1,-0.055803,1.160268,0.2500,0.134090
105,_backbone.img_backbone.layer3.4.conv2,-0.078791,1.183255,0.1250,0.145015
106,_trajectory_head.decoder.layers.0.v_ffn.0,-0.093871,1.198336,0.1667,0.102514
